-----+-------- NALU Table ------+---------+
 NUM |   POS   |  IDC  |  TYPE  |   LEN   |
-----+---------+-------+--------+---------+
    0|        0|      3|       7|       25|
    1|       29|      3|       8|        6|
    2|       39|      0|       6|      686|
    3|      728|      3|       5|    14710|
    4|    15441|      2|       1|     6575|
    5|    22020|      0|       1|     2084|
    6|    24108|      2|       1|     6622|
    7|    30734|      0|       1|     2216|
    8|    32954|      2|       1|     6490|
    9|    39448|      0|       1|     2124|
   10|    41576|      2|       1|     6662|
   11|    48242|      0|       1|     2221|
   12|    50467|      2|       1|     5894|
   13|    56365|      0|       1|     2049|
   14|    58418|      2|       1|     5085|
   15|    63507|      2|       1|     7189|
   16|    70700|      0|       1|     2422|
   17|    73126|      2|       1|     6953|
   18|    80083|      0|       1|     2561|
   19|    82648|      2|       1|     6689|
   20|    89341|      0|       1|     2197|
   21|    91542|      2|       1|     6307|
   22|    97853|      0|       1|     1972|
   23|    99829|      2|       1|     6841|
   24|   106674|      0|       1|     1986|
   25|   108664|      2|       1|     5435|
   26|   114103|      2|       1|      354|
   27|   114461|      2|       1|     6183|
   28|   120648|      0|       1|     2381|
   29|   123033|      2|       1|     5873|
   30|   128910|      0|       1|     1836|
   31|   130750|      2|       1|     5911|
   32|   136665|      0|       1|     1892|
   33|   138561|      2|       1|     6124|
   34|   144689|      0|       1|     1996|
   35|   146689|      2|       1|     6196|
   36|   152889|      0|       1|     2070|
   37|   154963|      2|       1|     6131|
   38|   161098|      0|       1|     1916|
   39|   163018|      2|       1|     5650|
   40|   168672|      0|       1|     1666|
   41|   170342|      2|       1|     5837|
   42|   176183|      0|       1|     1576|
   43|   177763|      2|       1|     5928|
   44|   183695|      0|       1|     1622|
   45|   185321|      2|       1|     6071|
   46|   191396|      0|       1|     1917|
   47|   193317|      2|       1|     5973|
   48|   199294|      0|       1|     1628|
   49|   200926|      2|       1|     6161|
   50|   207091|      0|       1|     1634|
   51|   208729|      2|       1|      384|
   52|   209117|      2|       1|     5994|
   53|   215115|      0|       1|     1853|
   54|   216972|      2|       1|     5870|
   55|   222846|      0|       1|     1675|
   56|   224525|      2|       1|     5564|
   57|   230093|      0|       1|     1623|
   58|   231720|      2|       1|     5448|
   59|   237172|      0|       1|     1535|
   60|   238711|      2|       1|     5666|
   61|   244381|      0|       1|     1443|
   62|   245828|      2|       1|     5292|
   63|   251124|      0|       1|     1730|
   64|   252858|      2|       1|     5226|
   65|   258088|      0|       1|     1484|
   66|   259576|      2|       1|     5175|
   67|   264755|      0|       1|     1748|
   68|   266507|      2|       1|     5500|
   69|   272011|      0|       1|     2007|
   70|   274022|      2|       1|     5220|
   71|   279246|      0|       1|     1941|
   72|   281191|      2|       1|     3989|
   73|   285184|      2|       1|     3913|
   74|   289101|      2|       1|     6037|
   75|   295142|      0|       1|     2009|
   76|   297155|      2|       1|      266|
   77|   297425|      2|       1|     3675|
   78|   301104|      0|       1|     2068|
   79|   303176|      3|       7|       25|
   80|   303205|      3|       8|        6|
   81|   303215|      3|       5|    17926|
   82|   321144|      2|       1|     4500|
   83|   325648|      0|       1|     2006|
   84|   327658|      2|       1|     4544|
   85|   332206|      0|       1|     1849|
   86|   334059|      2|       1|     5202|
   87|   339265|      0|       1|     2030|
   88|   341299|      2|       1|     4917|
   89|   346220|      0|       1|     1960|
   90|   348184|      2|       1|     4899|
   91|   353087|      0|       1|     1874|
   92|   354965|      2|       1|     7112|
   93|   362081|      0|       1|     3142|
   94|   365227|      2|       1|     6321|
   95|   371552|      0|       1|     2460|
   96|   374016|      2|       1|     5508|
   97|   379528|      0|       1|     1884|
   98|   381416|      2|       1|     4534|
   99|   385954|      2|       1|     8049|
  100|   394007|      0|       1|     3659|
  101|   397670|      2|       1|     6294|
  102|   403968|      0|       1|     1826|
  103|   405798|      2|       1|     4852|
  104|   410654|      0|       1|      130|
  105|   410788|      2|       1|     4431|
  106|   415223|      2|       1|     5468|
  107|   420695|      0|       1|     1886|
  108|   422585|      2|       1|     5200|
  109|   427789|      0|       1|     1996|
  110|   429789|      2|       1|     5138|
  111|   434931|      0|       1|     1998|
  112|   436933|      2|       1|     6960|
  113|   443897|      0|       1|     2856|
  114|   446757|      2|       1|     6795|
  115|   453556|      0|       1|     2605|
  116|   456165|      2|       1|     5861|
  117|   462030|      0|       1|     2124|
  118|   464158|      2|       1|     5362|
  119|   469524|      0|       1|     1981|
  120|   471509|      2|       1|     3957|
  121|   475470|      0|       1|     2108|
  122|   477582|      2|       1|     3716|
  123|   481302|      0|       1|     2122|
  124|   483428|      2|       1|     3539|
  125|   486971|      0|       1|     2023|
  126|   488998|      3|       7|       25|
  127|   489027|      3|       8|        6|
  128|   489037|      3|       5|    19605|
  129|   508645|      2|       1|     2983|
  130|   511632|      0|       1|      145|
  131|   511781|      2|       1|     5298|
  132|   517083|      0|       1|     1929|
  133|   519016|      2|       1|     4142|
  134|   523162|      2|       1|     5945|
  135|   529111|      0|       1|     2054|
  136|   531169|      2|       1|     6186|
  137|   537359|      0|       1|     2142|
  138|   539505|      2|       1|     6600|
  139|   546109|      0|       1|     2168|
  140|   548281|      2|       1|     6646|
  141|   554931|      0|       1|     2210|
  142|   557145|      2|       1|     6814|
  143|   563963|      0|       1|     2180|
  144|   566147|      2|       1|     7054|
  145|   573205|      0|       1|     2251|
  146|   575460|      2|       1|     5248|
  147|   580712|      2|       1|     7067|
  148|   587783|      0|       1|     2350|
  149|   590137|      2|       1|     6898|
  150|   597039|      0|       1|     2361|
  151|   599404|      2|       1|     6573|
  152|   605981|      0|       1|     2345|
  153|   608330|      2|       1|     5571|
  154|   613905|      2|       1|     7033|
  155|   620942|      2|       1|      418|
  156|   621364|      2|       1|     7692|
  157|   629060|      0|       1|     3027|
  158|   632091|      2|       1|     7159|
  159|   639254|      0|       1|     2695|
  160|   641953|      2|       1|     7228|
  161|   649185|      0|       1|     2435|
  162|   651624|      2|       1|     5444|
  163|   657072|      2|       1|     5407|
  164|   662483|      2|       1|     6672|
  165|   669159|      0|       1|     2216|
  166|   671379|      2|       1|     6271|
  167|   677654|      0|       1|     2104|
  168|   679762|      2|       1|     6228|
  169|   685994|      0|       1|     2001|
  170|   687999|      2|       1|     6319|
  171|   694322|      0|       1|     2140|
  172|   696466|      2|       1|     6122|
  173|   702592|      0|       1|     2179|
  174|   704775|      2|       1|     4493|
  175|   709272|      2|       1|     4831|
  176|   714107|      2|       1|     6262|
  177|   720373|      0|       1|     2252|
  178|   722629|      2|       1|     6855|
  179|   729488|      0|       1|     2266|
  180|   731758|      2|       1|      367|
  181|   732129|      2|       1|     5651|
  182|   737784|      0|       1|     2197|
  183|   739985|      2|       1|     6846|
  184|   746835|      2|       1|     5387|
  185|   752226|      0|       1|     1951|
  186|   754181|      2|       1|     5613|
  187|   759798|      0|       1|     2069|
  188|   761871|      2|       1|     5701|
  189|   767576|      0|       1|     1948|
  190|   769528|      2|       1|     5861|
  191|   775393|      0|       1|     2117|
  192|   777514|      2|       1|     6306|
  193|   783824|      0|       1|     2266|
  194|   786094|      2|       1|     6098|
  195|   792196|      0|       1|     2270|
  196|   794470|      2|       1|     6083|
  197|   800557|      0|       1|     2302|
  198|   802863|      2|       1|     6552|
  199|   809419|      0|       1|     2984|
  200|   812407|      2|       1|     5829|
  201|   818240|      0|       1|     2088|
  202|   820332|      2|       1|     6049|
  203|   826385|      0|       1|     2189|
  204|   828578|      2|       1|     5205|
  205|   833787|      2|       1|      372|
  206|   834163|      2|       1|     6533|
  207|   840700|      0|       1|     2543|
  208|   843247|      2|       1|     6037|
  209|   849288|      0|       1|     2966|
  210|   852258|      2|       1|     6014|
  211|   858276|      0|       1|     2750|
  212|   861030|      2|       1|     6483|
  213|   867517|      2|       1|     5416|
  214|   872937|      0|       1|     1824|
  215|   874765|      2|       1|     5331|
  216|   880100|      0|       1|     1838|
  217|   881942|      2|       1|     5521|
  218|   887467|      0|       1|     2070|
  219|   889541|      2|       1|     5513|
  220|   895058|      0|       1|     2276|
  221|   897338|      2|       1|     5109|
  222|   902451|      0|       1|     1664|
  223|   904119|      2|       1|     5346|
